RANK;FULL NAME;TEAM;POS;AGE;GP;MPG;MIN%;USG%;TO%;FTA;FT%;2PA;2P%;3PA;3P%;eFG%;TS%;PPG;RPG;TRB%;APG;AST%;SPG;BPG;TOPG;VI;ORTG;DRTG
;Precious Achiuwa;Tor;F;23.25;12;20.4;42.5;21;12.3;33;0.848;64;0.484;28;0.179;0.418;0.493;8.8;7;19.5;1.3;9.4;0.17;0.58;1.25;8.5;105.6;107.7
;Steven Adams;Mem;C;29.42;26;26.5;55.2;14.3;22.5;72;0.333;153;0.608;1;0;0.604;0.565;8.1;10.2;20.3;2.3;11.2;0.85;1.23;2.08;8.7;113.4;102.1
;Bam Adebayo;Mia;C-F;25.42;28;35;72.9;26.3;14.9;145;0.841;422;0.538;10;0.1;0.529;0.584;20.7;9.8;15.9;3.3;16.7;1;0.68;3.11;10;110.2;101.2
;Ochai Agbaji;Uta;G;22.66;13;8.9;18.4;15;0;9;0.444;20;0.6;17;0.235;0.486;0.488;3.1;1.2;7.6;0.2;2.3;0.08;0;0;4.1;111.2;110.3
;Santi Aldama;Mem;F-C;21.94;28;24.5;51.1;15.3;6.7;61;0.77;108;0.574;103;0.359;0.557;0.593;10.1;5.6;12.2;1.4;7.4;0.82;0.89;0.61;7;126.3;102.3
;Nickeil Alexander-Walker;Uta;G;24.3;21;15.1;31.4;19.3;19.9;22;0.727;48;0.583;59;0.441;0.626;0.643;7.1;1.6;5.7;2.2;20.5;0.62;0.38;1.38;7.7;113.9;108.1
;Grayson Allen;Mil;G;27.2;26;27.2;56.7;15;11.9;57;0.93;80;0.538;116;0.414;0.587;0.64;10.9;3.6;6.9;2.6;13.3;0.73;0.19;1.15;6.9;127;107.5
;Jarrett Allen;Cle;C;24.66;24;33.4;69.6;16.3;12.7;89;0.719;213;0.62;3;0;0.611;0.643;13.7;10.3;18.1;1.4;6.4;0.67;1.25;1.54;7;126.1;101.2
;Jose Alvarado;Nor;G;24.69;28;20.5;42.8;20;14.8;39;0.769;101;0.535;112;0.384;0.556;0.58;9.5;2.1;5.8;3.1;20.8;1.29;0.14;1.43;7.7;112.5;101.9
;Kyle Anderson;Min;F-G;29.25;25;24.3;50.6;13.6;18.4;50;0.8;109;0.514;29;0.345;0.514;0.569;7.3;4.2;9.7;3.4;18;1.12;0.8;1.44;7.7;112;108.1
;Giannis Antetokounmpo;Mil;F;28.04;24;32.7;68.2;38.7;12.3;290;0.628;428;0.575;77;0.26;0.547;0.58;30.6;11.1;17.9;5.3;31.9;0.88;0.96;3.71;14.9;113.4;96.5
;Thanasis Antetokounmpo;Mil;F;30.42;15;4.4;9.2;7.6;42.1;2;0.5;5;0.6;1;0;0.5;0.509;0.5;0.9;11.1;0.2;5.6;0;0.2;0.33;4.1;83;106.8
;Cole Anthony;Orl;G;22.59;14;26.5;55.2;22.4;13.1;38;0.868;95;0.505;54;0.333;0.503;0.552;13.1;4.4;9.6;3.9;23.4;0.86;0.29;1.79;9.2;111.2;103.2
;O.G. Anunoby;Tor;F;25.43;26;36.7;76.4;22.1;13.1;102;0.833;266;0.541;121;0.331;0.527;0.571;19;5.8;9.1;2.1;8.9;2.38;0.85;2.5;6.7;108.8;107.1
